year,month,location_period_id,sm
2009,12,12692,6.9
2009,12,12707,4.0
2009,12,12711,7.0
2009,12,12720,17.153847
2009,12,12726,17.666666
2009,12,12727,9.933333
2009,12,12728,10.875
2009,12,12731,9.333333
2009,12,12732,12.705882
2009,12,12734,7.769231
2009,12,12737,7.4666667
2009,12,12738,10.590909
2009,12,12745,66.28571
2009,12,12746,75.5
2009,12,12752,74.083336
2009,12,12753,80.84615
2009,12,12757,64.333336
2009,12,12765,83.86667
2009,12,12766,66.0
2009,12,12768,45.846153
2009,12,12769,71.0
2009,12,12774,70.8
2009,12,12850,19.0
2009,12,12851,22.0
2009,12,12902,11.125
2009,12,12910,3.3333333
2009,12,12912,10.0
2009,12,12915,4.8
2009,12,12928,7.6
2009,12,12932,39.0
2009,12,12933,40.714287
2009,12,12937,35.125
2009,12,12942,47.74286
2009,12,13004,11.0
2009,12,13012,30.380953
2009,12,13017,31.0
2009,12,13035,41.0
2009,12,13054,16.857143
2009,12,13055,3.6
2009,12,13057,0.5
2009,12,13058,13.0
2009,12,13059,6.571429
2009,12,13060,5.5
2009,12,13061,12.375
2009,12,13063,7.8
2009,12,13064,3.5
2009,12,13066,24.0
2009,12,13072,13.6
2009,12,13073,3.5
2009,12,13074,4.0
2009,12,13075,4.1666665
2009,12,13079,2.6666667
2009,12,13080,5.25
2009,12,13081,15.0
2009,12,13082,12.375
2009,12,13083,3.631579
2009,12,13109,6.25
2009,12,13110,22.75
2009,12,13111,14.0
2009,12,13112,5.0
2009,12,13113,6.0
2009,12,13114,9.8125
2009,12,13115,3.2857144
2009,12,13117,8.222222
2009,12,13119,4.7884617
2009,12,13120,2.6262627
2009,12,13122,6.625
2009,12,13162,33.5
2009,12,13167,34.0
2009,12,13169,42.0
2009,12,13183,14.538462
2009,12,13184,8.25
2009,12,13187,2.0
2009,12,13191,2.5
2009,12,13220,11.0
2009,12,13227,2.25
2009,12,13233,8.283951
2009,12,13234,8.775
2009,12,13235,18.695652
2009,12,13240,14.0
2009,12,13267,17.578947
2009,12,13268,14.8
2009,12,13269,14.789474
2009,12,13273,8.0
2009,12,13274,15.777778
2009,12,13278,6.0
2009,12,13279,0.0
2009,12,13280,11.0
2009,12,13286,6.8153844
2009,12,13292,3.8674698
2009,12,13293,2.8290155
2009,12,13325,3.0777779
2009,12,13352,4.2
2009,12,13404,29.8
2009,12,13407,43.64
2009,12,13408,39.313725
2009,12,13467,7.85
2009,12,13469,10.875
2009,12,13472,10.791667
2009,12,13496,44.59155
2009,12,13505,51.4
2009,12,13506,26.738094
2009,12,13508,25.67227
2009,12,13514,52.625
2009,12,13522,44.785713
2009,12,14091,44.054348
2009,12,14143,75.0
2009,12,14154,43.6
2009,12,14155,36.932434
2009,12,14157,30.415585
2009,12,14182,30.444445
2009,12,14252,53.0
2009,12,14254,46.923077
2009,12,14355,79.53704
2009,12,14357,80.121216
2009,12,14361,78.882355
2009,12,14364,85.0
2009,12,14371,84.96774
2009,12,14375,81.666664
2009,12,14376,76.75
2009,12,14380,78.0
2009,12,14383,77.125
2009,12,14385,77.46154
2009,12,14387,73.0
2009,12,14389,83.04082
2009,12,14390,72.333336
2009,12,14391,83.46809
2009,12,14393,75.5
2009,12,14397,85.833336
2009,12,14400,81.8
2009,12,14401,78.62069
2009,12,14403,83.166664
2009,12,14406,84.62222
2009,12,14445,52.666668
2009,12,14455,73.37838
2009,12,14456,75.190475
2009,12,14460,71.0
2009,12,14466,76.0
2009,12,14472,67.15385
2009,12,14487,66.0
2009,12,14489,70.0
2009,12,14517,85.86957
2009,12,14518,83.545456
2009,12,14537,77.388885
2009,12,14548,90.0
2009,12,14588,52.0
2009,12,14591,75.5
2009,12,14593,51.0
2009,12,14594,42.0
2009,12,14597,16.5
2009,12,14598,57.0
